SKU,Description,Cost
0000000D8455,OPT_DRIVE ORDERABLE PN                  ,
0000000D8457,SSD ORDERABLE PN,
0000000FG722,SSD ORDERABLE PN                        ,
0000000MP651,SSD ORDERABLE PN,
0000000MP652,OPT_DRIVE ORDERABLE PN                  ,
0000000MP653,OPT_DRIVE ORDERABLE PN                  ,
0000000MP676,OPT_DRIVE ORDERABLE PN                  ,
0000000MP678,SSD ORDERABLE PN,
0000000MP680,SSD ORDERABLE PN                        ,
0000000MP681,SSD ORDERABLE PN                        ,
0000000YK154,SSD ORDERABLE PN                        ,
0000000YL699,SSD ORDERABLE PN,
0000001GR296,SSD ORDERABLE PN,
0000001GR298,SSD ORDERABLE PN,
SSS0L25140,SSD RAM S121 16G M.2 2242,
SSS0L25141,SSD RAM S121 32G M.2 2242               ,
0000000FN968,SSD S3610 200GB SS,
SSD0H55421,SSD SAM CM871a 128G 2.5                 ,
SSD0H55423,SSD SAM CM871a 256G 2.5                 ,
SSD0H55422,SSD SAM CM871a 256G 2.5 OPAL            ,
SSD0H55407,SSD SAM PM871a 1024G 2.5                ,
SSD0H55406,SSD SAM PM871a 512G 2.5                 ,
SSS0L25057,SSD SAM PM961128GB M.2 PCIe NVMe       ,
SSS0L25044,SSD SAM PM961256 M.2 NVMe OPAL         ,
SSS0L25045,SSD SAM PM961512 M.2 NVMe OPAL         ,
SSS0L25075,SSD SAM SM961 1024G M.2 2280 OPAL       ,
SSS0L25048,SSD SAM SM961 512G M.2 NVMe OPAL        ,
SSS0L24676,SSD SAN X400 2.5 128G                   ,
SSS0L24677,SSD SAN X400 2.5 256G                   ,
SSS0L24680,SSD SAN X400 2.5 256G OPAL              ,
SSS0L24678,SSD SAN X400 2.5 512G                   ,
SSS0L24693,SSD TSB XG4 128G M.2 2280 PCIe,
SSS0L24686,SSD TSB XG4 M.2 2280 512G OPAL PCIe     ,
0000000YK168,"SSD_ASM 1.6TB  12G SAS 2.5"" SSD",
0000000YK146,"SSD_ASM 1.92TB NVMe 2.5"" SSD",
0000000YK307,"SSD_ASM 1.92TB NVMe 2.5"" SSD",
SSD0E97898,SSD_ASM 2.5 X300S256 6GB/S             ,
SSD0F66183,"SSD_ASM 2.5"" CM871120 6Gb/s            ",
SSD0F66184,"SSD_ASM 2.5"" CM871-192 6Gb/s",
SSD0F66232,"SSD_ASM 2.5""CM871-128 6Gb/s",
SSD0E97937,"SSD_ASM 2.5""PM871256 6Gb/s             ",
SSD0F66164,"SSD_ASM 2.5""TS Refresh180 OPAL 2.0     ",
